match,reward,win_rate_rolling,position,actor_loss,critic_loss,stage
1,-0.023085969303713386,0.22775925361577387,3,0.8602537536940882,1.3388238151787957,Stage 3: vs. Heuristic V2
2,-0.09193718596524914,0.2430265128866443,1,0.8965620499091593,1.4663525472374226,Stage 3: vs. Heuristic V2
3,1.1543319771295486,0.23782030279228064,4,0.9062639505975166,1.5061604867856098,Stage 3: vs. Heuristic V2
4,0.5183077106938121,0.2293994819624445,1,0.8969504470683374,1.4684571287462136,Stage 3: vs. Heuristic V2
5,0.3369014116420008,0.23975062773956202,2,0.9161455789519565,1.5109576662561635,Stage 3: vs. Heuristic V2
6,-0.9281242530048754,0.2378402901930292,2,0.9293980363594168,1.4962589081135766,Stage 3: vs. Heuristic V2
7,-0.12525170395530894,0.24396978215665727,3,0.932458065596526,1.5054420133139235,Stage 3: vs. Heuristic V2
8,-1.6084340336127358,0.24441032906427967,1,0.920759488987662,1.4997118536241565,Stage 3: vs. Heuristic V2
9,-1.490540682688623,0.24238603712898904,2,0.8968555592294079,1.4982506556638093,Stage 3: vs. Heuristic V2
10,1.6245650296261345,0.24640592522009475,3,0.8793684068375331,1.502495323041944,Stage 3: vs. Heuristic V2
11,0.2686639409294327,0.2479107807737314,1,0.8675556746084333,1.5150034636493799,Stage 3: vs. Heuristic V2
12,1.376572526402165,0.25134971226507724,3,0.8582772720020801,1.5037878185079963,Stage 3: vs. Heuristic V2
13,1.1926524891062789,0.2508247419031982,2,0.8534976296546497,1.4930489244305745,Stage 3: vs. Heuristic V2
14,0.6460919022690262,0.2510067266576727,2,0.8448198772282317,1.4954084877839493,Stage 3: vs. Heuristic V2
15,0.9594664422562519,0.2542448715723795,1,0.8523600936030077,1.4889921321405915,Stage 3: vs. Heuristic V2
16,0.4506373658487568,0.2563015357283755,1,0.8452809738202641,1.4875282698152235,Stage 3: vs. Heuristic V2
17,0.7788561196844063,0.2580004886237865,3,0.8519196277550378,1.4947243527477783,Stage 3: vs. Heuristic V2
18,-0.2826168814863814,0.25829575948398015,2,0.8576614472669415,1.4845089439130255,Stage 3: vs. Heuristic V2
19,-1.3660272658877102,0.2588479793912065,1,0.864823888730033,1.4933001837847253,Stage 3: vs. Heuristic V2
20,-0.5071215724118602,0.25600945772770206,2,0.8634303972202411,1.4856370496112508,Stage 3: vs. Heuristic V2
21,1.0535490406096404,0.257037221447069,3,0.8583069968761583,1.4910812547283245,Stage 3: vs. Heuristic V2
22,1.7794609980815674,0.2584740555262998,4,0.8588669830984128,1.4842992352495998,Stage 3: vs. Heuristic V2
23,0.28048529853387605,0.25737479369318655,3,0.864613698073941,1.492248281076844,Stage 3: vs. Heuristic V2
24,1.2247521934036876,0.25908482132796334,3,0.8618584922215246,1.5006361604153675,Stage 3: vs. Heuristic V2
25,0.8129216747881933,0.25722932510645174,2,0.8624883404773334,1.4953319648070582,Stage 3: vs. Heuristic V2
26,-0.8989439820325515,0.2565977678748102,3,0.8566198982807246,1.499406489140169,Stage 3: vs. Heuristic V2
27,-0.6885249892566064,0.2578832995425259,1,0.8587666447998151,1.4998399873077661,Stage 3: vs. Heuristic V2
